score,high_score,reached_mid_checkpoint,steps,agent,episode
150,160,True,217,Q-learning,1
150,160,True,217,Q-learning,2
150,160,True,217,Q-learning,3
150,160,True,217,Q-learning,4
150,160,True,217,Q-learning,5
150,160,True,217,Q-learning,6
150,160,True,217,Q-learning,7
150,160,True,217,Q-learning,8
150,160,True,217,Q-learning,9
150,160,True,217,Q-learning,10
150,160,True,217,Q-learning,11
150,160,True,217,Q-learning,12
150,160,True,217,Q-learning,13
150,160,True,217,Q-learning,14
150,160,True,217,Q-learning,15
150,160,True,217,Q-learning,16
150,160,True,217,Q-learning,17
150,160,True,217,Q-learning,18
150,160,True,217,Q-learning,19
150,160,True,217,Q-learning,20
150,160,True,217,Q-learning,21
150,160,True,217,Q-learning,22
150,160,True,217,Q-learning,23
150,160,True,217,Q-learning,24
150,160,True,217,Q-learning,25
150,160,True,217,Q-learning,26
150,160,True,217,Q-learning,27
150,160,True,217,Q-learning,28
150,160,True,217,Q-learning,29
150,160,True,217,Q-learning,30
150,160,True,217,Q-learning,31
150,160,True,217,Q-learning,32
150,160,True,217,Q-learning,33
150,160,True,217,Q-learning,34
150,160,True,217,Q-learning,35
150,160,True,217,Q-learning,36
150,160,True,217,Q-learning,37
150,160,True,217,Q-learning,38
150,160,True,217,Q-learning,39
150,160,True,217,Q-learning,40
150,160,True,217,Q-learning,41
150,160,True,217,Q-learning,42
150,160,True,217,Q-learning,43
150,160,True,217,Q-learning,44
150,160,True,217,Q-learning,45
150,160,True,217,Q-learning,46
150,160,True,217,Q-learning,47
150,160,True,217,Q-learning,48
150,160,True,217,Q-learning,49
150,160,True,217,Q-learning,50
150,160,True,217,Q-learning,51
150,160,True,217,Q-learning,52
150,160,True,217,Q-learning,53
150,160,True,217,Q-learning,54
150,160,True,217,Q-learning,55
150,160,True,217,Q-learning,56
150,160,True,217,Q-learning,57
150,160,True,217,Q-learning,58
150,160,True,217,Q-learning,59
150,160,True,217,Q-learning,60
150,160,True,217,Q-learning,61
150,160,True,217,Q-learning,62
150,160,True,217,Q-learning,63
150,160,True,217,Q-learning,64
150,160,True,217,Q-learning,65
150,160,True,217,Q-learning,66
150,160,True,217,Q-learning,67
150,160,True,217,Q-learning,68
150,160,True,217,Q-learning,69
150,160,True,217,Q-learning,70
150,160,True,217,Q-learning,71
150,160,True,217,Q-learning,72
150,160,True,217,Q-learning,73
150,160,True,217,Q-learning,74
150,160,True,217,Q-learning,75
150,160,True,217,Q-learning,76
150,160,True,217,Q-learning,77
150,160,True,217,Q-learning,78
150,160,True,217,Q-learning,79
150,160,True,217,Q-learning,80
150,160,True,217,Q-learning,81
150,160,True,217,Q-learning,82
150,160,True,217,Q-learning,83
150,160,True,217,Q-learning,84
150,160,True,217,Q-learning,85
150,160,True,217,Q-learning,86
150,160,True,217,Q-learning,87
150,160,True,217,Q-learning,88
150,160,True,217,Q-learning,89
150,160,True,217,Q-learning,90
150,160,True,217,Q-learning,91
150,160,True,217,Q-learning,92
150,160,True,217,Q-learning,93
150,160,True,217,Q-learning,94
150,160,True,217,Q-learning,95
150,160,True,217,Q-learning,96
150,160,True,217,Q-learning,97
150,160,True,217,Q-learning,98
150,160,True,217,Q-learning,99
150,160,True,217,Q-learning,100
0,10,False,18,Dummy random,1
0,20,False,23,Dummy random,2
0,20,False,7,Dummy random,3
0,20,False,14,Dummy random,4
0,30,False,10,Dummy random,5
0,20,False,30,Dummy random,6
0,20,False,6,Dummy random,7
0,10,False,21,Dummy random,8
0,20,False,15,Dummy random,9
0,20,False,11,Dummy random,10
0,20,False,17,Dummy random,11
0,10,False,8,Dummy random,12
0,20,False,17,Dummy random,13
0,20,False,14,Dummy random,14
0,10,False,8,Dummy random,15
0,30,False,43,Dummy random,16
0,20,False,14,Dummy random,17
0,20,False,33,Dummy random,18
0,10,False,10,Dummy random,19
0,20,False,15,Dummy random,20
0,10,False,21,Dummy random,21
0,20,False,7,Dummy random,22
0,10,False,21,Dummy random,23
0,10,False,11,Dummy random,24
0,10,False,22,Dummy random,25
0,20,False,21,Dummy random,26
0,20,False,9,Dummy random,27
0,20,False,20,Dummy random,28
0,20,False,32,Dummy random,29
0,20,False,17,Dummy random,30
0,20,False,9,Dummy random,31
0,10,False,10,Dummy random,32
0,20,False,25,Dummy random,33
0,10,False,8,Dummy random,34
0,20,False,13,Dummy random,35
0,10,False,9,Dummy random,36
0,30,False,32,Dummy random,37
0,20,False,18,Dummy random,38
0,20,False,29,Dummy random,39
0,10,False,23,Dummy random,40
0,10,False,20,Dummy random,41
0,10,False,6,Dummy random,42
0,10,False,5,Dummy random,43
0,20,False,22,Dummy random,44
0,10,False,20,Dummy random,45
0,10,False,8,Dummy random,46
0,10,False,30,Dummy random,47
0,10,False,20,Dummy random,48
0,20,False,15,Dummy random,49
0,10,False,15,Dummy random,50
0,10,False,8,Dummy random,51
0,10,False,18,Dummy random,52
0,20,False,13,Dummy random,53
0,10,False,9,Dummy random,54
0,10,False,7,Dummy random,55
0,10,False,35,Dummy random,56
0,10,False,13,Dummy random,57
0,10,False,11,Dummy random,58
0,10,False,15,Dummy random,59
0,20,False,16,Dummy random,60
0,20,False,21,Dummy random,61
0,10,False,15,Dummy random,62
0,20,False,14,Dummy random,63
0,10,False,9,Dummy random,64
0,10,False,20,Dummy random,65
0,10,False,12,Dummy random,66
0,10,False,21,Dummy random,67
0,20,False,11,Dummy random,68
0,10,False,13,Dummy random,69
0,10,False,7,Dummy random,70
0,10,False,22,Dummy random,71
0,20,False,13,Dummy random,72
0,10,False,31,Dummy random,73
0,10,False,10,Dummy random,74
0,20,False,15,Dummy random,75
0,20,False,33,Dummy random,76
0,10,False,15,Dummy random,77
0,10,False,11,Dummy random,78
0,10,False,29,Dummy random,79
0,20,False,11,Dummy random,80
0,10,False,9,Dummy random,81
0,20,False,29,Dummy random,82
0,20,False,23,Dummy random,83
0,10,False,8,Dummy random,84
0,10,False,20,Dummy random,85
0,20,False,11,Dummy random,86
50,50,True,37,Dummy random,87
0,10,False,31,Dummy random,88
0,10,False,30,Dummy random,89
0,20,False,17,Dummy random,90
0,20,False,12,Dummy random,91
0,10,False,15,Dummy random,92
0,20,False,7,Dummy random,93
0,10,False,8,Dummy random,94
0,20,False,24,Dummy random,95
0,10,False,19,Dummy random,96
0,20,False,12,Dummy random,97
0,10,False,22,Dummy random,98
0,20,False,25,Dummy random,99
0,20,False,13,Dummy random,100
