episode,score,high_score,lives,steps,reward,reached_mid_checkpoint,completed_lap,epsilon
1,100,130,0,90,-480.0,True,True,0.4
2,50,80,0,65,-623.0,True,False,0.4
3,0,10,0,7,-700.0,False,False,0.398
4,100,110,0,76,-487.0,True,True,0.39601
5,150,170,0,82,-360.0,True,True,0.39403
6,0,30,0,24,-703.0,False,False,0.39206
7,50,70,0,36,-602.0,True,False,0.3901
8,100,130,0,130,-497.0,True,True,0.38815
9,0,30,0,18,-696.0,False,False,0.38621
10,0,10,0,7,-696.0,False,False,0.38428
11,0,30,0,17,-699.0,False,False,0.38236
12,50,60,0,27,-597.0,True,False,0.38044
13,0,30,0,12,-695.0,False,False,0.37854
14,150,170,0,64,-336.0,True,True,0.37665
15,50,70,0,64,-612.0,True,False,0.37477
16,0,30,0,24,-699.0,False,False,0.37289
17,0,20,0,18,-694.0,False,False,0.37103
18,0,10,0,7,-696.0,False,False,0.36917
19,0,30,0,18,-695.0,False,False,0.36733
20,0,10,0,18,-705.0,False,False,0.36549
21,150,160,0,64,-359.0,True,True,0.36366
22,50,80,0,65,-619.0,True,False,0.36184
23,50,80,0,65,-610.0,True,False,0.36003
24,150,170,0,82,-352.0,True,True,0.35823
25,50,80,0,81,-630.0,True,False,0.35644
26,50,70,0,72,-618.0,True,False,0.35466
27,0,10,0,7,-696.0,False,False,0.35289
28,0,30,0,12,-692.0,False,False,0.35112
29,50,80,0,65,-613.0,True,False,0.34937
30,0,30,0,18,-696.0,False,False,0.34762
31,100,110,0,55,-455.0,True,True,0.34588
32,0,10,0,43,-733.0,False,False,0.34415
33,0,20,0,18,-696.0,False,False,0.34243
34,150,170,0,64,-341.0,True,True,0.34072
35,0,30,0,42,-722.0,False,False,0.33902
36,100,130,0,191,-546.0,True,True,0.33732
37,0,10,0,29,-713.0,False,False,0.33564
38,150,170,0,64,-337.0,True,True,0.33396
39,150,170,0,64,-335.0,True,True,0.33229
40,0,30,0,18,-694.0,False,False,0.33063
41,50,70,0,66,-621.0,True,False,0.32897
42,50,70,0,37,-598.0,True,False,0.32733
43,0,10,0,7,-696.0,False,False,0.32569
44,0,30,0,24,-699.0,False,False,0.32406
45,50,60,0,81,-634.0,True,False,0.32244
46,50,70,0,38,-601.0,True,False,0.32083
47,100,130,0,75,-465.0,True,True,0.31923
48,50,60,0,36,-609.0,True,False,0.31763
49,150,160,0,64,-346.0,True,True,0.31604
50,50,60,0,42,-604.0,True,False,0.31446
51,50,60,0,87,-643.0,True,False,0.31289
52,50,70,0,37,-600.0,True,False,0.31133
53,0,30,0,17,-699.0,False,False,0.30977
54,50,70,0,37,-600.0,True,False,0.30822
55,0,10,0,43,-730.0,False,False,0.30668
56,50,70,0,38,-600.0,True,False,0.30515
57,150,170,0,64,-342.0,True,True,0.30362
58,50,60,0,37,-594.0,True,False,0.3021
59,100,110,0,50,-444.0,True,True,0.30059
60,0,10,0,43,-731.0,False,False,0.29909
61,50,80,0,65,-617.0,True,False,0.29759
62,0,30,0,18,-696.0,False,False,0.2961
63,100,110,0,30,-434.0,True,True,0.29462
64,50,60,0,37,-602.0,True,False,0.29315
65,0,30,0,75,-744.0,False,False,0.29168
66,0,30,0,69,-732.0,False,False,0.29023
67,0,30,0,18,-696.0,False,False,0.28878
68,50,70,0,37,-598.0,True,False,0.28733
69,50,70,0,42,-604.0,True,False,0.28589
70,50,70,0,17,-589.0,True,False,0.28447
71,0,30,0,18,-696.0,False,False,0.28304
72,0,10,0,7,-696.0,False,False,0.28163
73,50,70,0,64,-618.0,True,False,0.28022
74,50,60,0,64,-624.0,True,False,0.27882
75,0,20,0,18,-703.0,False,False,0.27742
76,50,70,0,37,-604.0,True,False,0.27604
77,0,30,0,18,-700.0,False,False,0.27466
78,0,20,0,18,-696.0,False,False,0.27328
79,0,30,0,18,-696.0,False,False,0.27192
80,0,30,0,18,-696.0,False,False,0.27056
81,50,70,0,42,-607.0,True,False,0.26921
82,0,10,0,32,-714.0,False,False,0.26786
83,50,70,0,42,-597.0,True,False,0.26652
84,0,30,0,15,-692.0,False,False,0.26519
85,50,70,0,37,-603.0,True,False,0.26386
86,50,70,0,18,-586.0,True,False,0.26254
87,0,10,0,24,-706.0,False,False,0.26123
88,150,170,0,66,-335.0,True,True,0.25992
89,50,80,0,65,-619.0,True,False,0.25862
90,0,30,0,18,-694.0,False,False,0.25733
91,0,30,0,18,-694.0,False,False,0.25604
92,50,80,0,65,-610.0,True,False,0.25476
93,150,170,0,64,-341.0,True,True,0.25349
94,50,70,0,36,-599.0,True,False,0.25222
95,50,70,0,37,-598.0,True,False,0.25096
96,100,110,0,43,-451.0,True,True,0.24971
97,0,30,0,18,-696.0,False,False,0.24846
98,50,60,0,37,-601.0,True,False,0.24722
99,0,10,0,142,-808.0,False,False,0.24598
100,0,10,0,7,-696.0,False,False,0.24475
101,0,30,0,12,-692.0,False,False,0.24353
102,0,30,0,30,-709.0,False,False,0.24231
103,50,80,0,81,-626.0,True,False,0.2411
104,50,60,0,27,-592.0,True,False,0.23989
105,0,10,0,7,-696.0,False,False,0.23869
106,0,30,0,52,-731.0,False,False,0.2375
107,50,70,0,45,-609.0,True,False,0.23631
108,0,10,0,31,-712.0,False,False,0.23513
109,0,30,0,42,-721.0,False,False,0.23395
110,0,30,0,18,-696.0,False,False,0.23278
111,0,30,0,18,-696.0,False,False,0.23162
112,50,70,0,64,-613.0,True,False,0.23046
113,50,70,0,37,-602.0,True,False,0.22931
